roi_i,roi_j,tval,p_unc,p_fdr,significant,yeo7_i,yeo7_i_name,yeo17_i,yeo17_i_name,yeo7_j,yeo7_j_name,yeo17_j,yeo17_j_name,HO_i_name,HO_j_name,HO_pair,yeo7_pair,yeo7_kind,yeo17_pair,yeo17_kind
95,359,6.731378,3.048196e-11,1.1680078e-06,True,2,Somatomotor,4,Somatomotor – B,2,Somatomotor,3,Somatomotor – A,Left Postcentral Gyrus,Right Postcentral Gyrus,Left Postcentral Gyrus ↔ Right Postcentral Gyrus,Somatomotor ↔ Somatomotor,intra,Somatomotor – A ↔ Somatomotor – B,inter
182,214,6.5841737,7.868533e-11,1.4469877e-06,True,5,Limbic,9,Limbic – A,6,Frontoparietal Control,12,Frontoparietal Control – B,Left Temporal Pole,Left Inferior Frontal Gyrus; pars opercularis,Left Inferior Frontal Gyrus; pars opercularis ↔ Left Temporal Pole,Frontoparietal Control ↔ Limbic,inter,Frontoparietal Control – B ↔ Limbic – A,inter
241,390,6.3672214,3.0994696e-10,3.1406908e-06,True,6,Frontoparietal Control,12,Frontoparietal Control – B,0,Unknown,0,Unknown,Right Superior Frontal Gyrus,Unknown,Right Superior Frontal Gyrus ↔ Unknown,Frontoparietal Control ↔ Unknown,inter,Frontoparietal Control – B ↔ Unknown,inter
30,182,6.335288,3.7936404e-10,3.1406908e-06,True,7,Default Mode,17,Temporo-Parietal,5,Limbic,9,Limbic – A,Left Angular Gyrus,Left Temporal Pole,Left Angular Gyrus ↔ Left Temporal Pole,Default Mode ↔ Limbic,inter,Limbic – A ↔ Temporo-Parietal,inter
65,182,6.322239,4.0981923e-10,3.1406908e-06,True,4,Salience / Ventral Attention,7,Salience/Ventral Attention – A,5,Limbic,9,Limbic – A,Left Planum Temporale,Left Temporal Pole,Left Planum Temporale ↔ Left Temporal Pole,Limbic ↔ Salience / Ventral Attention,inter,Limbic – A ↔ Salience/Ventral Attention – A,inter
154,230,6.230624,7.2275236e-10,5.03535e-06,True,7,Default Mode,16,Default Mode – C,0,Unknown,0,Unknown,Left Superior Frontal Gyrus,,Left Superior Frontal Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
306,359,6.157931,1.135539e-09,6.6940897e-06,True,7,Default Mode,13,Frontoparietal Control – C,2,Somatomotor,3,Somatomotor – A,Right Middle Frontal Gyrus,Right Postcentral Gyrus,Right Middle Frontal Gyrus ↔ Right Postcentral Gyrus,Default Mode ↔ Somatomotor,inter,Frontoparietal Control – C ↔ Somatomotor – A,inter
30,390,6.142962,1.2260576e-09,6.711439e-06,True,7,Default Mode,17,Temporo-Parietal,0,Unknown,0,Unknown,Left Angular Gyrus,Unknown,Left Angular Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Temporo-Parietal ↔ Unknown,inter
154,390,6.095687,1.6300729e-09,7.761068e-06,True,7,Default Mode,16,Default Mode – C,0,Unknown,0,Unknown,Left Superior Frontal Gyrus,Unknown,Left Superior Frontal Gyrus ↔ Unknown,Default Mode ↔ Unknown,inter,Default Mode – C ↔ Unknown,inter
182,267,6.0867963,1.7216212e-09,7.761068e-06,True,5,Limbic,9,Limbic – A,1,Visual,15,Default Mode – B,Left Temporal Pole,Right Parahippocampal Gyrus; posterior division,Left Temporal Pole ↔ Right Parahippocampal Gyrus; posterior division,Limbic ↔ Visual,inter,Default Mode – B ↔ Limbic – A,inter
182,315,6.0607777,2.008559e-09,8.551552e-06,True,5,Limbic,9,Limbic – A,0,Unknown,0,Unknown,Left Temporal Pole,,Left Temporal Pole ↔ Unknown,Limbic ↔ Unknown,inter,Limbic – A ↔ Unknown,inter
