pair,n_edges,n_unique_rois
Temporo-Parietal ↔ Unknown,108,65
Unknown ↔ Visual – Central,101,61
Default Mode – C ↔ Unknown,91,62
Unknown ↔ Visual – Peripheral,83,58
Somatomotor – B ↔ Unknown,82,47
Frontoparietal Control – C ↔ Unknown,78,55
Frontoparietal Control – B ↔ Unknown,69,45
Temporo-Parietal ↔ Visual – Central,63,52
Salience/Ventral Attention – B ↔ Unknown,60,46
Dorsal Attention – A ↔ Unknown,55,47
Dorsal Attention – B ↔ Unknown,51,39
Limbic – A ↔ Unknown,51,39
Salience/Ventral Attention – A ↔ Unknown,51,40
Default Mode – C ↔ Temporo-Parietal,49,42
Frontoparietal Control – C ↔ Visual – Central,43,37
Default Mode – B ↔ Unknown,42,42
Salience/Ventral Attention – B ↔ Visual – Central,42,41
Somatomotor – A ↔ Unknown,42,33
Visual – Central ↔ Visual – Peripheral,42,38
Somatomotor – B ↔ Visual – Central,41,38
Default Mode – A ↔ Unknown,39,34
Default Mode – C ↔ Visual – Peripheral,39,33
Default Mode – C ↔ Salience/Ventral Attention – A,38,30
Default Mode – C ↔ Somatomotor – B,38,32
Default Mode – C ↔ Visual – Central,38,35
Dorsal Attention – A ↔ Temporo-Parietal,38,36
Temporo-Parietal ↔ Visual – Peripheral,38,39
Dorsal Attention – A ↔ Salience/Ventral Attention – A,37,30
Somatomotor – B ↔ Temporo-Parietal,37,34
Frontoparietal Control – A ↔ Unknown,36,31
Default Mode – C ↔ Dorsal Attention – A,35,36
Frontoparietal Control – C ↔ Temporo-Parietal,35,38
Salience/Ventral Attention – A ↔ Visual – Central,35,35
Frontoparietal Control – C ↔ Visual – Peripheral,34,37
Salience/Ventral Attention – B ↔ Temporo-Parietal,34,39
Limbic – B ↔ Unknown,33,24
Dorsal Attention – A ↔ Visual – Peripheral,32,32
Salience/Ventral Attention – B ↔ Visual – Peripheral,32,32
Frontoparietal Control – B ↔ Temporo-Parietal,31,31
Salience/Ventral Attention – A ↔ Temporo-Parietal,31,28
Default Mode – C ↔ Frontoparietal Control – C,30,29
Dorsal Attention – A ↔ Visual – Central,30,30
Limbic – A ↔ Temporo-Parietal,30,34
Somatomotor – A ↔ Temporo-Parietal,30,29
Somatomotor – B ↔ Visual – Peripheral,30,25
Salience/Ventral Attention – A ↔ Somatomotor – B,29,27
Salience/Ventral Attention – A ↔ Visual – Peripheral,29,30
Somatomotor – A ↔ Visual – Central,29,28
Default Mode – B ↔ Visual – Central,28,27
Frontoparietal Control – B ↔ Salience/Ventral Attention – B,28,30
Frontoparietal Control – B ↔ Visual – Peripheral,28,26
Somatomotor – A ↔ Visual – Peripheral,28,27
Default Mode – C ↔ Frontoparietal Control – B,27,31
Default Mode – C ↔ Salience/Ventral Attention – B,27,30
Dorsal Attention – B ↔ Visual – Central,26,25
Frontoparietal Control – B ↔ Visual – Central,26,25
Frontoparietal Control – C ↔ Somatomotor – B,26,29
Default Mode – B ↔ Dorsal Attention – A,25,28
Default Mode – B ↔ Salience/Ventral Attention – A,25,25
Dorsal Attention – B ↔ Temporo-Parietal,25,27
Frontoparietal Control – C ↔ Salience/Ventral Attention – A,25,24
Frontoparietal Control – C ↔ Salience/Ventral Attention – B,25,27
Default Mode – C ↔ Dorsal Attention – B,24,21
